theta,phi_optimal,highest_key_rate,b92_key_rate,improvement,coverage,difference,remaining_phiQKD_bits,remaining_b92_bits
0.0,1e-06,0.2148928046403065,0.018592958202872496,1055.7752257363054,37.363816124605144,0.196299846437434,-99999.9999989999,-100000.0
0.00015709518511836882,0.004791922648674691,0.2148977775981687,0.018592954642460222,1055.8021935223383,37.35381514521675,0.19630482295570847,-99976.27197490724,-100000.0
0.00031419037023673764,0.007461526700687202,0.21478232628088872,0.018592943961223227,1055.1819159398908,37.353815153196315,0.19618938231966548,-99941.92967699868,-100000.0
0.00047128555535510646,0.009423880535490798,0.21465221354975508,0.018592926159160972,1054.4832250301451,37.34381417381494,0.1960592873905941,-99906.63228266408,-100000.0
0.0006283807404734753,0.011150293146301034,0.2145143290478798,0.018592901236272608,1053.7431749994296,37.333813194437724,0.19592142781160718,-99868.45539756719,-100000.0
0.0007854759255918442,0.012562326939648401,0.21437143209835285,0.018592869192556854,1052.976605591194,37.33381320242461,0.195778562905796,-99831.99329560924,-100000.0
0.0009425711107102129,0.013895577495554602,0.2142249763079042,0.018592830028012212,1052.191333891344,37.32381222305441,0.195632146279892,-99793.3427760486,-100000.0
0.0010996662958285817,0.015071575798370889,0.21407581847012566,0.01859259747260643,1051.4035023107247,37.32381223104578,0.19548322099751925,-99755.62963445575,-99999.0
0.0012567614809469506,0.016168853708104492,0.21392453573720466,0.018592544066931792,1050.5931354369368,37.3138112516826,0.19533199167027288,-99717.40508420182,-99999.0
0.0014138566660653194,0.017265911662583403,0.2137715310643639,0.01859248354049255,1049.7739427806462,37.30381027232358,0.19517904752387133,-99676.40786107392,-99999.0
0.0015709518511836883,0.01820581163051012,0.21361710050235494,0.018592415893285752,1048.9475156345773,37.30381028032229,0.1950246846090692,-99638.62750808774,-99999.0
0.001728047036302057,0.019145523065361388,0.21346144197393135,0.01859234112530805,1048.114917509586,37.293809300970295,0.1948691008486233,-99598.76491332233,-99999.0
0.0018851422214204259,0.02000659266257808,0.21330474307200487,0.01859207296990788,1047.2886504761912,37.28380832162245,0.19471267010209697,-99560.1160521459,-99998.0
0.0020422374065387945,0.02086748943780894,0.21314712753288811,0.018591983961267038,1046.4463823599503,37.283808329628535,0.19455514357162107,-99519.69357709224,-99998.0
0.0021993325916571634,0.021649775797584463,0.21298872465566723,0.018591887831914348,1045.6003100989903,37.27380735028773,0.1943968368237529,-99481.07562952726,-99998.0
0.0023564277767755323,0.022431905046463776,0.212829607531837,0.01859159831808121,1044.7622947234725,37.27380735829829,0.19423800921375578,-99440.96764734558,-99997.0
0.002513522961893901,0.023135455302066992,0.21266986005132965,0.018591487948394016,1043.9098400389232,37.26380637896453,0.19407837210293563,-99403.20517135151,-99997.0
0.00267061814701227,0.02383886415786363,0.21250954212851292,0.018591184196565694,1043.0661967609858,37.25380539963493,0.19391835793194723,-99364.21123705633,-99996.0
0.002827713332130639,0.024542131613853675,0.21234872670002153,0.01859105958680704,1042.2088434954653,37.25380540765286,0.1937576671132145,-99323.986321763,-99996.0
0.0029848085172490078,0.02524525767003713,0.2121874489444625,0.018590927856451687,1041.3494290486756,37.24380442833031,0.19359652108801081,-99282.53089694264,-99996.0
0.0031419037023673766,0.02586985186621335,0.21202574064132165,0.018590602747960046,1040.4995497770362,37.23380344901191,0.19343513789336161,-99244.15809784539,-99995.0
0.003298998887485745,0.026494320373672612,0.21186364772602065,0.01859045677785138,1039.6365902016698,37.233803457037226,0.19327319094816928,-99204.7882738061,-99995.0
0.003456094072604114,0.0271186631924149,0.21170121091678434,0.018590117432654277,1038.78361276472,37.22380247772589,0.19311109348413008,-99164.42180399079,-99994.0
0.003613189257722483,0.027742880322440225,0.21153845158435422,0.018589770970107968,1037.929304909159,37.21380149841872,0.19294868061424625,-99123.05906377663,-99993.0
0.0037702844428408517,0.02828861272572718,0.2113753758159102,0.018589603641685083,1037.0623058467197,37.21380150645142,0.19278577217422513,-99085.44108819785,-99993.0
0.00392737962795922,0.028912586333863375,0.21121205126843448,0.018589242943312646,1036.2057718677381,37.2038005271513,0.19262280832512182,-99042.19693912333,-99992.0
0.004084474813077589,0.029458090926350832,0.21104846175280337,0.018589061375842344,1035.3368386156071,37.203800535188506,0.19245940037696102,-99002.9059583061,-99992.0
0.004241569998195958,0.030003485541210937,0.21088463515455366,0.018588686442178988,1034.4784141177515,37.19379955589547,0.19229594871237468,-98962.82777627344,-99991.0
0.004398665183314327,0.0305487701784437,0.21072058910996985,0.01858830439204916,1033.6192084314162,37.18379857660659,0.19213228471792068,-98921.96268466028,-99990.0
0.004555760368432696,0.031093944838049115,0.21055633270675028,0.018588101467488426,1032.747919818624,37.18379858465119,0.19196823123926185,-98880.31097277085,-99990.0
0.0047128555535510645,0.031560697615274635,0.21039190328063398,0.01858770518293647,1031.8874557671268,37.17379760536939,0.1918041980976975,-98843.19944448241,-99989.0
0.004869950738669433,0.03210566017517017,0.21022728518381015,0.018587301782457624,1031.0263729737203,37.16379662609176,0.19163998340135252,-98800.07291933015,-99988.0
0.005027045923787802,0.03257221656377544,0.21006251579484517,0.018586891266254818,1030.1648714985563,37.16379663414377,0.19147562452859035,-98761.66992038817,-99987.0
0.005184141108906171,0.03303867868584298,0.209897584236539,0.01858665986753237,1029.2915764988697,37.153795654873214,0.19131092436900665,-98722.66415214284,-99987.0
0.00534123629402454,0.0335050465413728,0.20973250911678237,0.018586235118103464,1028.4292261669366,37.153795662929745,0.1911462739986789,-98683.0558346329,-99986.0
